MSFT (Microsoft Corporation),110.19,0
Nov 30 2018 @ 06:48 ET,Bid,110.29,Ask,109.87,Size,2x1,Vol,28123195
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
11/30/2018,MSFT181130C00092500,0,0,16.05,19.7,0,2.4903,0.9175,0.0104,0,92.500,MSFT181130P00092500,0.13,0,0,0.13,0,1.251,-0.0038,0.0016,108
11/30/2018,MSFT181130C00093000,0,0,15.25,19.4,0,2.3678,0.9215,0.0106,0,93.000,MSFT181130P00093000,0.27,0,0,0.13,0,1.251,-0.0049,0.0019,154
11/30/2018,MSFT181130C00093500,13.45,0,15.05,18.95,0,2.4002,0.9118,0.0114,63,93.500,MSFT181130P00093500,0.01,0,0,0.15,0,1.1885,-0.0042,0.0018,121
11/30/2018,MSFT181130C00094000,12.3,0,14.4,18.45,0,2.4179,0.9034,0.0121,72,94.000,MSFT181130P00094000,0.01,0,0,0.13,0,1.1712,-0.0049,0.0021,217
11/30/2018,MSFT181130C00094500,11.9,0,13.95,17.9,0,2.2823,0.9078,0.0124,23,94.500,MSFT181130P00094500,0.03,0,0,0.13,0,1.126,-0.0047,0.0021,117
11/30/2018,MSFT181130C00095000,15.5,-0.5,15.1,15.35,10,2.2232,0.9057,0.0129,131,95.000,MSFT181130P00095000,0.01,0,0,0.02,0,1.0635,-0.004,0.0019,466
11/30/2018,MSFT181130C00095500,0,0,12.9,17.1,0,2.0613,0.9133,0.0131,0,95.500,MSFT181130P00095500,0.01,0,0,0.01,0,1.001,-0.0033,0.0017,80
11/30/2018,MSFT181130C00096000,11,0,12.45,16.5,0,2.1316,0.8987,0.0142,45,96.000,MSFT181130P00096000,0.03,0,0,0.13,7,1.001,-0.0044,0.0022,938
11/30/2018,MSFT181130C00096500,12.7,-1.8,13.6,13.9,10,2.0473,0.8987,0.0148,144,96.500,MSFT181130P00096500,0.01,0,0,0.15,0,1.001,-0.0058,0.0028,80
11/30/2018,MSFT181130C00097000,0,0,11.8,14.75,0,1.8127,0.915,0.0147,101,97.000,MSFT181130P00097000,0.01,0,0,0.01,0,0.9011,-0.0036,0.002,309
11/30/2018,MSFT181130C00097500,9.65,0,11.75,14.25,0,1.7826,0.9098,0.0156,271,97.500,MSFT181130P00097500,0.03,0,0,0.02,5,0.9373,-0.0065,0.0033,501
11/30/2018,MSFT181130C00098000,11.2,-1.8,12.1,12.35,10,1.8933,0.888,0.0172,261,98.000,MSFT181130P00098000,0.01,0,0,0.02,6,0.905,-0.0069,0.0036,542
11/30/2018,MSFT181130C00098500,8.2,0,10.5,12.45,0,1.6181,0.9111,0.017,419,98.500,MSFT181130P00098500,0.01,0,0,0.02,4,0.8469,-0.0059,0.0034,2588
11/30/2018,MSFT181130C00099000,11.8,-0.2,11.1,11.35,10,1.7754,0.8815,0.0191,161,99.000,MSFT181130P00099000,0.01,0,0,0.01,5,0.749,-0.0034,0.0023,683
11/30/2018,MSFT181130C00099500,8.65,0,10.6,10.85,0,1.7147,0.8782,0.0201,299,99.500,MSFT181130P00099500,0.02,0,0,0.01,0,0.7184,-0.0035,0.0025,492
11/30/2018,MSFT181130C00100000,10.8,-0.2,10.1,10.35,95,1.655,0.8745,0.0213,537,100.000,MSFT181130P00100000,0.01,0.005,0,0.02,103,0.7549,-0.0073,0.0046,4655
11/30/2018,MSFT181130C00101000,9.55,-0.475,9.1,9.35,9,1.535,0.8663,0.024,607,101.000,MSFT181130P00101000,0.03,0.01,0.01,0.02,227,0.7255,-0.0113,0.007,1351
11/30/2018,MSFT181130C00102000,8.92,-0.105,8.1,8.4,27,1.3954,0.8598,0.0273,1230,102.000,MSFT181130P00102000,0.02,-0.005,0.01,0.02,155,0.6547,-0.0126,0.0085,1193
11/30/2018,MSFT181130C00103000,7.6,-0.425,7.1,7.35,122,1.2917,0.8457,0.0314,856,103.000,MSFT181130P00103000,0.02,-0.005,0.01,0.03,171,0.5936,-0.0155,0.0112,3895
11/30/2018,MSFT181130C00104000,7.06,0.035,6.1,6.35,116,1.169,0.8321,0.0367,962,104.000,MSFT181130P00104000,0.03,-0.005,0.02,0.06,273,0.5413,-0.0214,0.0162,2381
11/30/2018,MSFT181130C00105000,5.2,-0.85,5.1,5.4,118,1.0411,0.8161,0.0436,2096,105.000,MSFT181130P00105000,0.03,-0.025,0.02,0.03,676,0.4704,-0.0246,0.0209,6022
11/30/2018,MSFT181130C00106000,4.3,-0.775,4.1,4.4,336,0.9118,0.7955,0.0531,3733,106.000,MSFT181130P00106000,0.04,-0.035,0.03,0.12,1169,0.4026,-0.0321,0.0305,3325
11/30/2018,MSFT181130C00107000,3.9,-0.2,3.15,3.4,413,0.7916,0.7645,0.0664,4097,107.000,MSFT181130P00107000,0.07,-0.055,0.04,0.13,670,0.3439,-0.0527,0.0534,1802
11/30/2018,MSFT181130C00108000,2.43,-0.77,2.3,2.44,1026,0.6621,0.7224,0.0864,3084,108.000,MSFT181130P00108000,0.13,-0.08,0.1,0.14,2313,0.3048,-0.1054,0.1022,2892
11/30/2018,MSFT181130C00109000,1.6,-0.74,1.44,1.53,5455,0.5482,0.6515,0.1152,4257,109.000,MSFT181130P00109000,0.27,-0.085,0.24,0.29,4861,0.2536,-0.207,0.1923,3199
11/30/2018,MSFT181130C00110000,0.78,-0.81,0.76,0.82,17610,0.4525,0.5345,0.15,7712,110.000,MSFT181130P00110000,0.53,-0.075,0.53,0.59,6759,0.1842,-0.4255,0.3632,4134
11/30/2018,MSFT181130C00111000,0.33,-0.665,0.31,0.35,4014,0.3829,0.3645,0.1675,3320,111.000,MSFT181130P00111000,1.08,0.075,1.06,1.14,1680,0.05,-0.6952,0.2266,790
11/30/2018,MSFT181130C00112000,0.13,-0.435,0.09,0.13,2654,0.3476,0.1924,0.1343,3745,112.000,MSFT181130P00112000,1.32,-0.245,1.81,1.97,697,0.05,-0.8824,0.1316,829
11/30/2018,MSFT181130C00113000,0.04,-0.25,0.03,0.05,561,0.3337,0.0844,0.0791,2662,113.000,MSFT181130P00113000,2.42,0.12,2.72,2.91,118,0.05,-0.9759,0.0406,332
11/30/2018,MSFT181130C00114000,0.03,-0.115,0,0.05,931,0.3599,0.0413,0.042,4287,114.000,MSFT181130P00114000,3.45,0.3,3.7,3.9,82,0.05,-0.9808,0.0268,194
11/30/2018,MSFT181130C00115000,0.03,-0.03,0.01,0.03,577,0.3954,0.0231,0.0236,1839,115.000,MSFT181130P00115000,4.45,0.375,4.65,4.9,46,0.05,-0.9832,0.0191,131
11/30/2018,MSFT181130C00116000,0.01,0.005,0,0.03,79,0.4119,0.0105,0.0115,1716,116.000,MSFT181130P00116000,5.3,0.275,5.65,5.95,26,0.05,-0.9773,0.0194,200
11/30/2018,MSFT181130C00117000,0.01,0.005,0,0.03,30,0.5027,0.0136,0.0118,365,117.000,MSFT181130P00117000,0,0,5.3,8.05,0,0.05,-1,0.0097,17
11/30/2018,MSFT181130C00118000,0.01,0,0,0.01,25,0.4873,0.0046,0.0047,285,118.000,MSFT181130P00118000,0,0,5.65,9.9,0,0.05,-0.9775,0.0145,0
11/30/2018,MSFT181130C00119000,0.01,0,0,0.01,3,0.5297,0.0033,0.0032,246,119.000,MSFT181130P00119000,0,0,6.7,10.8,0,0.05,-0.9374,0.023,69
